Library,Prefix,Company
app.viewmodel.purchase,app.viewmodel,
app.viewmodel.settings,app.viewmodel,
app.viewmodel.signin,app.viewmodel,
app.viewmodel.voicecall,app.viewmodel,
app.viewmodel.wallet,app.viewmodel,
app.whoo.data,app.whoo,
app.whoo.service,app.whoo,
app.whoo.ui,app.whoo,
ar.com.hjg.pngj,ar.com,
audience_network.classes.org.checkerframework,audience_network.classes,
audience_network.classes2.com,audience_network.classes2,
audience_network.classes2.kotlin,audience_network.classes2,
audience_network.com.facebook,audience_network.com,
audience_network.com.facebook.ads,audience_network.com,
audience_network.com.google,audience_network.com,
audience_network.javax.annotation,audience_network.javax,
aws.sdk.kotlin,aws.sdk,
aws.smithy.kotlin.runtime,aws.smithy,
b.a.a.a.c,b.a,FALSE
b.b.a,b.b,FALSE
backtraceio.library.models,backtraceio.library,
base.arch.mvi,base.arch,
base.okhttp.api,base.okhttp,
base.sys.share,base.sys,
base.sys.web,base.sys,
base.toptop.socket,base.toptop,
base.toptop.syncbox,base.toptop,
base.widget.alert,base.widget,
base.widget.datapicker,base.widget,
bereal.app.features,bereal.app,
bereal.app.navigation,bereal.app,
bereal.app.profile.ui.v4,bereal.app,
bigo.sg.networkanalyze,bigo.sg,
biz.cunning.cunning_document_scanner.fallback,biz.cunning,
blind.ivker.lynxi,blind.ivker,
blind.ivker.renders,blind.ivker,
brut.androlib.res,brut.androlib,
build.android.javadoc.io.agora,build.android,
by.chemerisuk.cordova,by.chemerisuk,
by.kirich1409.viewbindingdelegate,by.kirich1409,
bytekn.foundation.concurrent,bytekn.foundation,
c.b.a,c.b,FALSE
c.b.c.a,c.b,FALSE
c.b.d,c.b,FALSE
c.c.a,c.c,FALSE
c.c.d,c.c,FALSE
c.e.b,c.e,FALSE
c.e.e.n,c.e,FALSE
c.e.e.q,c.e,FALSE
c.e.e.v,c.e,FALSE
c.e.f,c.e,FALSE
c.f.a,c.f,FALSE
c.f.b,c.f,FALSE
c.g.a,c.g,FALSE
c.i.a,c.i,FALSE
cafe.adriel.voyager,cafe.adriel,
cat.ereza.customactivityoncrash,cat.ereza,
cc.admaster.android,cc.admaster,
cc.dd.bb,cc.dd,FALSE
cc.dd.dd.ee,cc.dd,FALSE
cc.dd.dd.u,cc.dd,FALSE
cc.dd.dd.v,cc.dd,FALSE
cc.dd.ee,cc.dd,FALSE
cc.dd.gg,cc.dd,FALSE
cc.dd.hh,cc.dd,FALSE
cc.stix.hashb,cc.stix,
ch.boye.httpclientandroidlib,ch.boye,
ch.hsr.geohash,ch.hsr,
ch.qos.logback,ch.qos,
ch.qos.logback.classic,ch.qos,
chat.arabic.arabicapk,chat.arabic,
chat.hifun.android,chat.hifun,
chip.devicecontroller.cluster,chip.devicecontroller,
cn.android.lib,cn.android,
cn.android.soulapp.lib.lib_anisurface,cn.android,
cn.bertsir.zbar,cn.bertsir,
